epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4594.05,1.06586,0.87308,1.49535,0.78504,0.6795,0.75918,0.48477,1.19571,0.74395,1.69254,0.007921,0.007921,0.007921
44,4701.3,1.07232,0.88374,1.49475,0.78539,0.6769,0.75601,0.48436,1.20532,0.75373,1.688,0.0078715,0.0078715,0.0078715
45,4808.13,1.06781,0.8778,1.49637,0.78312,0.66971,0.75309,0.48237,1.20523,0.75746,1.69264,0.007822,0.007822,0.007822
46,4935.32,1.06978,0.87124,1.49507,0.77404,0.67239,0.75854,0.48595,1.20562,0.75042,1.69239,0.0077725,0.0077725,0.0077725
47,5067.41,1.06636,0.87671,1.49596,0.76908,0.68501,0.75802,0.48781,1.20224,0.75524,1.68742,0.007723,0.007723,0.007723
48,5200.5,1.05682,0.87771,1.49142,0.77633,0.67958,0.75532,0.48467,1.21117,0.75604,1.68374,0.0076735,0.0076735,0.0076735
49,5333.63,1.06534,0.85954,1.48944,0.79248,0.66943,0.7593,0.48713,1.19946,0.74898,1.68177,0.007624,0.007624,0.007624
50,5467.45,1.05761,0.85632,1.48961,0.80642,0.64748,0.75357,0.48431,1.20138,0.73912,1.68098,0.0075745,0.0075745,0.0075745
51,5601.53,1.05716,0.85895,1.49003,0.77401,0.66595,0.7519,0.48522,1.1948,0.74707,1.68011,0.007525,0.007525,0.007525
52,5734.96,1.05626,0.85348,1.48168,0.78412,0.68354,0.76165,0.48765,1.19334,0.74395,1.67853,0.0074755,0.0074755,0.0074755
53,5870.93,1.05747,0.84389,1.48428,0.78506,0.68255,0.76171,0.49151,1.19684,0.7374,1.68241,0.007426,0.007426,0.007426
54,6007.89,1.05147,0.85242,1.4804,0.79548,0.67782,0.767,0.49278,1.1952,0.73132,1.68047,0.0073765,0.0073765,0.0073765
55,6143.53,1.05715,0.85134,1.48378,0.77677,0.68964,0.76059,0.48812,1.19655,0.73601,1.6848,0.007327,0.007327,0.007327
56,6278.48,1.05187,0.84503,1.48045,0.76299,0.70336,0.75477,0.48741,1.19479,0.73893,1.67958,0.0072775,0.0072775,0.0072775
57,6414.86,1.047,0.85084,1.47266,0.78154,0.69108,0.76067,0.49118,1.19502,0.73095,1.67603,0.007228,0.007228,0.007228
58,6552.92,1.04756,0.84642,1.48068,0.77375,0.67678,0.7591,0.49143,1.19224,0.73145,1.67469,0.0071785,0.0071785,0.0071785
59,6690.12,1.05199,0.84422,1.48493,0.76079,0.69715,0.7587,0.4905,1.19078,0.72322,1.67047,0.007129,0.007129,0.007129
60,6810.81,1.03236,0.83966,1.46847,0.77173,0.69977,0.76622,0.49579,1.1874,0.71736,1.67003,0.0070795,0.0070795,0.0070795
61,6916.4,1.04129,0.83393,1.47265,0.80099,0.67763,0.77068,0.49764,1.1897,0.71745,1.66725,0.00703,0.00703,0.00703
62,7021.5,1.04379,0.83802,1.47828,0.80201,0.68633,0.77279,0.49779,1.1886,0.71644,1.67117,0.0069805,0.0069805,0.0069805
63,7125.88,1.04394,0.82444,1.47189,0.81519,0.66547,0.77022,0.4984,1.19056,0.71747,1.67558,0.006931,0.006931,0.006931
64,7231.89,1.04527,0.84079,1.47384,0.79239,0.67559,0.77271,0.49785,1.18762,0.71362,1.67529,0.0068815,0.0068815,0.0068815
65,7336.64,1.03632,0.82063,1.46635,0.79299,0.68538,0.77502,0.49685,1.18884,0.71449,1.67375,0.006832,0.006832,0.006832
66,7441.53,1.0467,0.82498,1.4751,0.77006,0.70193,0.77336,0.49478,1.19135,0.71507,1.67233,0.0067825,0.0067825,0.0067825
67,7547,1.03384,0.82267,1.46732,0.76029,0.69994,0.77146,0.49559,1.19425,0.71264,1.67511,0.006733,0.006733,0.006733
